company_name,year,reportDate,Net Revenue,Cost of Goods,SG&A,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity
Dick's Sporting Goods,2021,2021-01-31,9584019.0,6533312.0,2298534.0,741477.0,530251.0,1953568.0,3759650.0,7752859.0,2550198.0,2339534.0,5413325.0
Academy Sports,2024,2024-01-31,6159291.0,4049080.0,1432356.0,677855.0,519190.0,1194159.0,1644900.0,4676713.0,879858.0,1954650.0,2722063.0
Academy Sports,2023,2023-01-31,6395073.0,4182571.0,1365953.0,846549.0,628001.0,1283517.0,1686675.0,4595439.0,1038716.0,1628306.0,2967133.0
Academy Sports,2022,2022-01-31,6773128.0,4422033.0,1443148.0,907947.0,671381.0,1171808.0,1715747.0,4584940.0,1127110.0,1466946.0,3117994.0
Academy Sports,2021,2021-01-31,5689233.0,3955188.0,1313647.0,420398.0,308764.0,990034.0,1415020.0,4384482.0,1167093.0,1111983.0,3272499.0
Best Buy,2024,2024-01-31,43452000.0,33849000.0,7876000.0,1727000.0,1241000.0,4958000.0,7897000.0,14967000.0,7909000.0,3053000.0,11914000.0
Best Buy,2023,2023-01-31,46298000.0,36386000.0,7970000.0,1942000.0,1419000.0,5140000.0,8802000.0,15803000.0,8979000.0,2795000.0,13008000.0
Best Buy,2022,2022-01-31,51761000.0,40121000.0,8635000.0,3005000.0,2454000.0,5965000.0,10539000.0,17504000.0,10674000.0,3020000.0,14484000.0
Best Buy,2021,2021-01-31,47262000.0,36689000.0,7928000.0,2645000.0,1798000.0,5612000.0,12540000.0,19067000.0,10521000.0,4587000.0,14480000.0
YETI,2024,2023-12-31,1658713.0,715527.0,717728.0,225458.0,169885.0,337208.0,914405.0,1297192.0,398353.0,723610.0,573582.0
YETI,2023,2022-12-31,1595222.0,831821.0,637040.0,126361.0,89693.0,371412.0,718920.0,1076765.0,409040.0,526477.0,550288.0
YETI,2022,2021-12-31,1410989.0,594876.0,541175.0,274938.0,212602.0,318864.0,770167.0,1096364.0,403713.0,517823.0,578541.0
YETI,2021,2020-12-31,1091721.0,462918.0,414570.0,214233.0,155801.0,140111.0,476497.0,737067.0,287759.0,288418.0,448649.0
Sherwin-Williams,2024,2023-12-31,23051900.0,12293800.0,7071000.0,3606400.0,2388800.0,2329800.0,5512900.0,22954400.0,6626900.0,3715800.0,19238600.0
Sherwin-Williams,2023,2022-12-31,22148900.0,12823800.0,6331600.0,3000600.0,2020100.0,2626500.0,5907700.0,22594000.0,5960700.0,3102100.0,19491900.0
